POD;DATA;ORA;FL_ORA_LEGALE;CONSUMO_ATTIVA_PRELEVATA;ATTIVA_IMMESSA;CONSUMO_REATTIVA_INDUTTIVA_PRELEVATA;REATTIVA_INDUTTIVA_IMMESSA;CONSUMO_REATTIVA_CAPACITIVA_PRELEVATA;REATTIVA_CAPACITIVA_IMMESSA;CONSUMO_PICCO_PRELEVATA;CONSUMO_PICCO_IMMESSA;TIPO_DATO
IT012E00801406;20240101;0;1;0.023;;0;;;;1.66;0;E
IT012E00801406;20240101;1500;1;0.415;;0.001;;;;1.66;0;E
IT012E00801406;20240101;3000;1;0.023;;0.001;;;;1.66;0;E
IT012E00801406;20240101;4500;1;0.024;;0.001;;;;1.66;0;E
IT012E00801406;20240101;10000;1;0.024;;0.001;;;;1.66;0;E
IT012E00801406;20240101;11500;1;0.024;;0.001;;;;1.66;0;E
IT012E00801406;20240101;13000;1;0.024;;0.001;;;;1.66;0;E
IT012E00801406;20240101;14500;1;0.023;;0.001;;;;1.66;0;E
IT012E00801406;20240101;20000;1;0.025;;0.001;;;;1.66;0;E
IT012E00801406;20240101;21500;1;0.023;;0.001;;;;1.66;0;E
IT012E00801406;20240101;23000;1;0.024;;0.001;;;;1.66;0;E
IT012E00801406;20240101;24500;1;0.025;;0;;;;1.66;0;E
IT012E00801406;20240101;30000;1;0.023;;0.001;;;;1.66;0;E
IT012E00801406;20240101;31500;1;0.024;;0.001;;;;1.66;0;E
IT012E00801406;20240101;33000;1;0.023;;0.001;;;;1.66;0;E
IT012E00801406;20240101;34500;1;0.025;;0.001;;;;1.66;0;E
IT012E00801406;20240101;40000;1;0.023;;0.001;;;;1.66;0;E
IT012E00801406;20240101;41500;1;0.024;;0.001;;;;1.66;0;E
IT012E00801406;20240101;43000;1;0.025;;0.001;;;;1.66;0;E
IT012E00801406;20240101;44500;1;0.023;;0.001;;;;1.66;0;E
IT012E00801406;20240101;50000;1;0.024;;0.001;;;;1.66;0;E
IT012E00801406;20240101;51500;1;0.023;;0.001;;;;1.66;0;E
IT012E00801406;20240101;53000;1;0.025;;0.001;;;;1.66;0;E
IT012E00801406;20240101;54500;1;0.024;;0;;;;1.66;0;E
IT012E00801406;20240101;60000;1;0.023;;0.001;;;;1.66;0;E
IT012E00801406;20240101;61500;1;0.025;;0.001;;;;1.66;0;E
IT012E00801406;20240101;63000;1;0.023;;0.001;;;;1.66;0;E
IT012E00801406;20240101;64500;1;0.024;;0.001;;;;1.66;0;E
IT012E00801406;20240101;70000;1;0.024;;0.001;;;;1.66;0;E
IT012E00801406;20240101;71500;1;0.024;;0.001;;;;1.66;0;E
IT012E00801406;20240101;73000;1;0.024;;0.001;;;;1.66;0;E
IT012E00801406;20240101;74500;1;0.023;;0.001;;;;1.66;0;E
IT012E00801406;20240101;80000;1;0.025;;0.001;;;;1.66;0;E
IT012E00801406;20240101;81500;1;0.024;;0.001;;;;1.66;0;E
IT012E00801406;20240101;83000;1;0.023;;0.001;;;;1.66;0;E
IT012E00801406;20240101;84500;1;0.024;;0;;;;1.66;0;E
IT012E00801406;20240101;90000;1;0.024;;0.001;;;;1.66;0;E
IT012E00801406;20240101;91500;1;0.024;;0.001;;;;1.66;0;E
IT012E00801406;20240101;93000;1;0.023;;0.001;;;;1.66;0;E
IT012E00801406;20240101;94500;1;0.024;;0.001;;;;1.66;0;E
IT012E00801406;20240101;100000;1;0.025;;0.001;;;;1.66;0;E
IT012E00801406;20240101;101500;1;0.023;;0.001;;;;1.66;0;E
IT012E00801406;20240101;103000;1;0.024;;0.001;;;;1.66;0;E
IT012E00801406;20240101;104500;1;0.024;;0.001;;;;1.66;0;E
IT012E00801406;20240101;110000;1;0.024;;0.001;;;;1.66;0;E
IT012E00801406;20240101;111500;1;0.024;;0.001;;;;1.66;0;E
IT012E00801406;20240101;113000;1;0.023;;0.001;;;;1.66;0;E
IT012E00801406;20240101;114500;1;0.025;;0;;;;1.66;0;E
IT012E00801406;20240101;120000;1;0.023;;0.001;;;;1.66;0;E
IT012E00801406;20240101;121500;1;0.024;;0.001;;;;1.66;0;E
IT012E00801406;20240101;123000;1;0.024;;0.001;;;;1.66;0;E
IT012E00801406;20240101;124500;1;0.024;;0.001;;;;1.66;0;E
IT012E00801406;20240101;130000;1;0.024;;0.001;;;;1.66;0;E
IT012E00801406;20240101;131500;1;0.023;;0.001;;;;1.66;0;E
IT012E00801406;20240101;133000;1;0.025;;0.001;;;;1.66;0;E
IT012E00801406;20240101;134500;1;0.023;;0.001;;;;1.66;0;E
IT012E00801406;20240101;140000;1;0.024;;0.001;;;;1.66;0;E
IT012E00801406;20240101;141500;1;0.025;;0.001;;;;1.66;0;E
IT012E00801406;20240101;143000;1;0.023;;0.001;;;;1.66;0;E
IT012E00801406;20240101;144500;1;0.024;;0;;;;1.66;0;E
IT012E00801406;20240101;150000;1;0.023;;0.001;;;;1.66;0;E
IT012E00801406;20240101;151500;1;0.025;;0.001;;;;1.66;0;E
IT012E00801406;20240101;153000;1;0.024;;0.001;;;;1.66;0;E
IT012E00801406;20240101;154500;1;0.023;;0.001;;;;1.66;0;E
IT012E00801406;20240101;160000;1;0.025;;0.001;;;;1.66;0;E
IT012E00801406;20240101;161500;1;0.023;;0.001;;;;1.66;0;E
IT012E00801406;20240101;163000;1;0.024;;0.001;;;;1.66;0;E
IT012E00801406;20240101;164500;1;0.023;;0.001;;;;1.66;0;E
IT012E00801406;20240101;170000;1;0.025;;0.001;;;;1.66;0;E
IT012E00801406;20240101;171500;1;0.024;;0.001;;;;1.66;0;E
IT012E00801406;20240101;173000;1;0.023;;0.001;;;;1.66;0;E
IT012E00801406;20240101;174500;1;0.025;;0;;;;1.66;0;E
IT012E00801406;20240101;180000;1;0.023;;0.001;;;;1.66;0;E
IT012E00801406;20240101;181500;1;0.024;;0.001;;;;1.66;0;E
IT012E00801406;20240101;183000;1;0.024;;0.001;;;;1.66;0;E
IT012E00801406;20240101;184500;1;0.024;;0.001;;;;1.66;0;E
IT012E00801406;20240101;190000;1;0.024;;0.001;;;;1.66;0;E
IT012E00801406;20240101;191500;1;0.023;;0.001;;;;1.66;0;E
IT012E00801406;20240101;193000;1;0.024;;0.001;;;;1.66;0;E
IT012E00801406;20240101;194500;1;0.025;;0.001;;;;1.66;0;E
IT012E00801406;20240101;200000;1;0.023;;0.001;;;;1.66;0;E
IT012E00801406;20240101;201500;1;0.024;;0.001;;;;1.66;0;E
IT012E00801406;20240101;203000;1;0.024;;0;;;;1.66;0;E
IT012E00801406;20240101;204500;1;0.024;;0.001;;;;1.66;0;E
IT012E00801406;20240101;210000;1;0.023;;0.001;;;;1.66;0;E
IT012E00801406;20240101;211500;1;0.024;;0.001;;;;1.66;0;E
IT012E00801406;20240101;213000;1;0.025;;0.001;;;;1.66;0;E
IT012E00801406;20240101;214500;1;0.023;;0.001;;;;1.66;0;E
IT012E00801406;20240101;220000;1;0.024;;0.001;;;;1.66;0;E
IT012E00801406;20240101;221500;1;0.024;;0.001;;;;1.66;0;E
IT012E00801406;20240101;223000;1;0.024;;0.001;;;;1.66;0;E
IT012E00801406;20240101;224500;1;0.024;;0.001;;;;1.66;0;E
IT012E00801406;20240101;230000;1;0.023;;0.001;;;;1.66;0;E
IT012E00801406;20240101;231500;1;0.025;;0.001;;;;1.66;0;E
IT012E00801406;20240101;233000;1;0.023;;0;;;;1.66;0;E
IT012E00801406;20240101;234500;1;0.024;;0.001;;;;1.66;0;E
IT012E00801406;20240102;0;1;0.025;;0.001;;;;1.66;0;E
IT012E00801406;20240102;1500;1;0.023;;0.001;;;;1.66;0;E
IT012E00801406;20240102;3000;1;0.024;;0.001;;;;1.66;0;E
IT012E00801406;20240102;4500;1;0.023;;0.001;;;;1.66;0;E
IT012E00801406;20240102;10000;1;0.025;;0.001;;;;1.66;0;E
IT012E00801406;20240102;11500;1;0.023;;0.001;;;;1.66;0;E
IT012E00801406;20240102;13000;1;0.024;;0.001;;;;1.66;0;E
IT012E00801406;20240102;14500;1;0.025;;0.001;;;;1.66;0;E
IT012E00801406;20240102;20000;1;0.023;;0.001;;;;1.66;0;E
IT012E00801406;20240102;21500;1;0.024;;0.001;;;;1.66;0;E
IT012E00801406;20240102;23000;1;0.023;;0;;;;1.66;0;E
IT012E00801406;20240102;24500;1;0.025;;0.001;;;;1.66;0;E
IT012E00801406;20240102;30000;1;0.024;;0.001;;;;1.66;0;E
IT012E00801406;20240102;31500;1;0.023;;0.001;;;;1.66;0;E
IT012E00801406;20240102;33000;1;0.025;;0.001;;;;1.66;0;E
IT012E00801406;20240102;34500;1;0.023;;0.001;;;;1.66;0;E
IT012E00801406;20240102;40000;1;0.024;;0.001;;;;1.66;0;E
IT012E00801406;20240102;41500;1;0.024;;0.001;;;;1.66;0;E
IT012E00801406;20240102;43000;1;0.024;;0.001;;;;1.66;0;E
IT012E00801406;20240102;44500;1;0.024;;0.001;;;;1.66;0;E
IT012E00801406;20240102;50000;1;0.023;;0.001;;;;1.66;0;E
IT012E00801406;20240102;51500;1;0.024;;0.001;;;;1.66;0;E
IT012E00801406;20240102;53000;1;0.024;;0;;;;1.66;0;E
IT012E00801406;20240102;54500;1;0.024;;0.001;;;;1.66;0;E
IT012E00801406;20240102;60000;1;0.024;;0.001;;;;1.66;0;E
